DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
Cable Conductor THHN Calibre #14 AWG,,0.0,,,0.0,MATERIAL
Cable THHN #12,,0.0,,,0.0,MATERIAL
Cable THHN #14,,0.0,,,0.0,MATERIAL
Cable THHN 10 AWG,,0.0,,,0.0,MATERIAL
Cable antiflama 2x18 sin shield (para incendios),,0.0,,,0.0,MATERIAL
Cable de baja capacitancia 2pr # 24 AWG + SH para Modbus,,0.0,,,0.0,MATERIAL
"Cable desnudo, cobre, 19 hilos 2/0 AWG",,0.0,,,0.0,MATERIAL
Cable elect. Twg.2#14/TUB. Manguera reforzada,,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 1x12 AWG, 75°C húmedo/90°C seco",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 1x14 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x10 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x12 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x14 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x4 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x6 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x8 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable verde aislamiento 600v, cobre 1/c, 2/0 AWG, XLPE",,0.0,,,0.0,MATERIAL
"Cable verde aislamiento 600v, cobre 1/c, 6 AWG, XLPE",,0.0,,,0.0,MATERIAL
"Cables, conectores",,0.0,,,0.0,MATERIAL
Caja Ortogonal Grande,,0.0,,,0.0,MATERIAL
Caja Rectangular,,0.0,,,0.0,MATERIAL
Caja Rectangular Profunda,,0.0,,,0.0,MATERIAL
Caja domiciliaria prefabricada con tapa de hormigón armado,,0.0,,,0.0,MATERIAL
Caja rectangular para pulsador contra incendios,,0.0,,,0.0,MATERIAL
Caldero,,0.0,,,0.0,EQUIPO
"Canal estructural hg 1 5/8"" x 1 5/8""",,0.0,,,0.0,MATERIAL
Canal recolector agua lluvia tool 1/32”” inc. Anclajes,,0.0,,,0.0,MATERIAL
Canales de lavado de plástico reforzadas con fibra de vidrio (FRP),,0.0,,,0.0,MATERIAL
Capacidad interruptiva de protección contra sobre carga y corto circuito,,0.0,,,0.0,MATERIAL
Carga para soldadura # 115 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 150 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 200 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 90 GRMS,,0.0,,,0.0,MATERIAL
Caudalímetro para verificación de caudal de dosificación,,0.0,,,0.0,MATERIAL
Cemento,,0.0,,,0.0,MATERIAL
Cemento portland Tipo 1,,0.0,,,0.0,MATERIAL
Cemento portland tipo 1,,0.0,,,0.0,MATERIAL
Cerradura de baño,,0.0,,,0.0,MATERIAL
Cerámica para paredes,,0.0,,,0.0,MATERIAL
